Date,Mkt-RF,SMB,HML
192607,2.96,-2.56,-2.43
192608,2.64,-1.17,3.82
192609,0.36,-1.4,0.13
192610,-3.24,-0.09,0.7
192611,2.53,-0.1,-0.51
192612,2.62,-0.03,-0.05
192701,-0.06,-0.37,4.54
192702,4.18,0.04,2.94
192703,0.13,-1.65,-2.61
192704,0.46,0.3,0.81
192705,5.44,1.53,4.73
192706,-2.34,0.59,-1.73
192707,7.26,-3.25,-1.14
192708,1.97,-0.69,-3.74
192709,4.76,-3.63,-0.63
192710,-4.31,2.12,-4.33
192711,6.58,2.72,-0.27
192712,2.09,0.97,-1.13
192801,-0.68,4.26,-0.75
192802,-1.7,-2.06,-0.65
192803,8.81,-0.26,-1.22
192804,4.23,3.98,3.44
192805,1.52,2.85,-3.27
192806,-4.85,-3.52,-0.03
192807,0.62,-1.32,-0.5
192808,6.68,-2.06,-2.15
192809,2.88,2.41,0.86
192810,1.33,2.22,-2.16
192811,11.81,-1.78,2.7
192812,0.36,-0.86,-0.65
192901,4.66,-3.56,-1.24
192902,-0.34,-0.38,1.66
192903,-0.89,-4.71,1.58
192904,1.43,-0.97,0.59
192905,-6.39,-5.37,-1.42
192906,9.7,-2.17,-2.79
192907,4.46,-3.88,2.71
192908,8.18,-9.59,0.13
192909,-5.47,1.19,-0.65
192910,-20.12,-4.01,7.78
192911,-12.74,-1.72,5.05
192912,1.33,-4.5,-0.54
193001,5.61,3.55,-0.96
193002,2.5,0.19,0.2
193003,7.1,3.41,0.33
193004,-2.06,-0.35,-0.35
193005,-1.66,-2.01,-0.73
193006,-16.27,-3.38,2.33
193007,4.12,-0.28,-1.75
193008,0.3,-2.1,-0.61
193009,-12.75,-2.21,-4.96
193010,-8.78,-0.12,-1.38
193011,-3.04,2.23,-3.66
193012,-7.83,-4.6,-5.25
193101,6.24,3.45,7.12
193102,10.88,3.59,1.92
193103,-6.43,2.98,-3.44
193104,-9.98,-4.45,-3.82
193105,-13.24,5.35,-6.57
193106,13.9,-5.32,11.29
193107,-6.62,1.42,-2.11
193108,0.41,-1.95,-1.47
193109,-29.13,0.54,-6.77
193110,8.04,-1.87,1.7
193111,-9.08,4.31,-5.04
193112,-13.53,-0.55,-8.85
193201,-1.58,3.93,9.03
193202,5.46,-2.78,-1.46
193203,-11.21,2.27,-2.32
193204,-17.96,1.45,1.43
193205,-20.51,3.91,-2.98
193206,-0.7,0.33,5.3
193207,33.84,-4.59,35.61
193208,37.06,13.41,34.24
193209,-2.94,-2.08,-7.36
193210,-13.17,-2.56,-10.33
193211,-5.88,2,-13.11
193212,4.4,-8.64,-7.72
193301,1.25,0.63,6.36
193302,-15.24,-2.58,-2.95
193303,3.29,3.79,7.54
193304,38.85,3.07,19.65
193305,21.43,36.56,19.19
193306,13.11,8.42,-1.78
193307,-9.63,-1.05,3.27
193308,12.05,-5.39,3
193309,-10.65,-0.4,-11.74
193310,-8.36,-0.2,-8.57
193311,9.97,-6.47,2.32
193312,1.83,0.63,-1.56
193401,12.6,12.69,15.59
193402,-2.5,5.1,2
193403,0.09,2.51,-2.7
193404,-1.79,2.73,-3.73
193405,-7.25,-0.29,-5.89
193406,2.64,-2.23,-2.96
193407,-10.96,-6.95,-10.7
193408,5.58,5.37,0.09
193409,-0.23,-1.52,-1.2
193410,-1.66,1.24,-5.08
193411,8.33,6.48,-2.15
193412,0.36,3.06,-3.14
193501,-3.45,1.07,-1.9
193502,-1.94,0.37,-7.44
193503,-3.68,-3.59,-5.12
193504,9.06,-1.47,4.47
193505,3.47,-3.34,2.65
193506,5.93,-2.57,-1.69
193507,7.51,1.88,6.93
193508,2.65,6.2,6.08
193509,2.63,1.53,-4.07
193510,7.03,2.72,-2.37
193511,4.88,4.54,12.06
193512,4.56,0.17,0.95
193601,6.89,5.23,10.34
193602,2.49,0.95,4.51
193603,0.99,0.69,-1.44
193604,-8.14,-6.06,-2.15
193605,5.19,0.91,2.61
193606,2.4,-3.2,-1.2
193607,6.67,1,2.4
193608,0.99,0.6,3.82
193609,0.98,3.08,0.9
193610,7.12,-2.43,2.47
193611,3.27,8.77,-1.21
193612,0.21,3.96,4.3
193701,3.35,4.34,2.61
193702,1.09,1.05,4.83
193703,-0.27,-1.69,6.5
193704,-7.36,-3.83,-3.66
193705,-0.83,-0.68,-3.48
193706,-4.21,-3.76,-3.33
193707,8.91,0.89,0.81
193708,-4.86,0.44,-2.25
193709,-13.61,-6.98,-4.57
193710,-9.61,0.41,-1.55
193711,-8.31,-3.6,0.15
193712,-4.24,-7.74,-0.4
193801,0.49,4.84,-1.61
193802,5.84,0.4,-2.02
193803,-23.82,-4.34,-3.54
193804,14.51,6.46,0.23
193805,-3.83,-2.51,-0.27
193806,23.87,4.3,0.32
193807,7.34,6.64,2.2
193808,-2.67,-2.45,-4.72
193809,0.81,-2.73,-1.62
193810,7.8,5.81,5.03
193811,-1.72,-2.57,-1.22
193812,4.19,-1.82,0.53
193901,-5.96,-1.55,-3.94
193902,3.51,0.63,2.95
193903,-11.99,-4.75,-8.31
193904,-0.18,1.67,-0.3
193905,6.8,2.8,0.49
193906,-5.31,-1.01,-5.42
193907,10.24,4.32,-0.03
193908,-6.68,-4.61,-2.42
193909,16.88,20.24,22.22
193910,-0.53,-0.01,-4.89
193911,-3.62,-5.07,-6.46
193912,3.03,0.79,-4.06
194001,-2.41,0.21,-0.81
194002,1.44,2.51,-0.33
194003,2.05,1.25,-1.27
194004,0.22,3.92,-0.13
194005,-21.95,-6.66,-3.69
194006,6.67,-2.13,4.62
194007,3.16,1.01,-0.74
194008,2.19,-0.11,0.56
194009,2.39,3.22,-1.13
194010,3.02,0.28,4.64
194011,-1.61,1.94,0.12
194012,0.69,-2.15,-0.89
194101,-4.17,1,3.83
194102,-1.43,-1.56,0.89
194103,0.84,0.1,3.04
194104,-5.46,-1.68,3.41
194105,1.39,-0.65,0.6
194106,5.83,1.32,0.59
194107,5.87,5.71,7.25
194108,-0.17,-0.42,-1.1
194109,-0.87,-0.99,-0.28
194110,-5.25,-2.02,1.63
194111,-1.92,-1.21,-0.64
194112,-4.87,-2.99,-5.94
194201,0.79,7.53,10.1
194202,-2.46,1.72,-1.13
194203,-6.58,1.77,-0.62
194204,-4.37,-0.6,2.09
194205,5.94,-3.05,-2.65
194206,2.69,-1.22,0.54
194207,3.51,-0.15,2.4
194208,1.8,-0.09,1.35
194209,2.61,0.63,2.35
194210,6.82,1.75,6.39
194211,0.15,-1.5,-4.21
194212,5.12,-2.51,0.58
194301,7.13,8.8,8.18
194302,6.15,4.75,6.4
194303,6.01,4.99,5.48
194304,0.81,2.05,5.82
194305,5.74,4.35,3.25
194306,1.82,-1.02,-0.7
194307,-4.77,-2.39,-2.29
194308,1.3,-0.6,-0.43
194309,2.4,1.29,1.43
194310,-1.15,0.58,1.64
194311,-5.91,-1.65,-4.02
194312,6.36,3.34,3.24
194401,1.74,2.55,2.16
194402,0.37,-0.1,0.84
194403,2.46,1.73,3.43
194404,-1.69,-1.37,-1.14
194405,5.07,1.68,1.04
194406,5.49,4.01,1.75
194407,-1.49,0.58,-0.42
194408,1.57,2.33,-1.49
194409,0.01,0.49,-1.16
194410,0.16,-0.15,-0.33
194411,1.71,0.36,2.38
194412,4.03,2.25,5.91
194501,2.01,2.46,0.67
194502,6.23,1.55,4.34
194503,-3.89,-1.6,-1.74
194504,7.8,0.32,3.24
194505,1.73,1.52,0.36
194506,0.39,3.12,4.21
194507,-2.17,-1.52,-2.62
194508,6.2,1.5,-4.27
194509,4.77,1.7,0.42
194510,3.89,2.38,2.13
194511,5.39,4.31,3.96
194512,1.2,2.1,-2.28
194601,6.24,3.91,2.48
194602,-5.83,-0.71,-1.46
194603,5.87,0.29,-0.54
194604,4.23,2.35,0.32
194605,3.93,1.46,1.28
194606,-3.89,-1.58,-0.39
194607,-2.69,-2.07,0.07
194608,-6.44,-1.84,0.55
194609,-10.17,-4.4,-1.92
194610,-1.44,0.1,3.46
194611,-0.01,-0.44,1.47
194612,4.96,0.08,-1.36
194701,1.25,2.2,-0.73
194702,-1.08,0.68,0.15
194703,-1.67,-1.62,0.61
194704,-4.8,-3.96,0.85
194705,-0.97,-3.26,0.33
194706,5.29,-0.3,-0.59
194707,4.14,1.43,2.82
194708,-1.74,0.32,0.18
194709,-0.54,1.64,1.36
194710,2.47,0.51,0.07
194711,-1.97,-1.71,1.1
194712,3,-2.46,3.71
194801,-3.93,2.5,1.39
194802,-4.38,-1.72,0.07
194803,8.07,0.14,4.5
194804,3.65,-1.65,4.11
194805,7.3,0.91,-1.27
194806,-0.1,-1.82,2.81
194807,-5.09,-0.33,0.14
194808,0.25,-1.11,0.28
194809,-2.97,-1.23,-1.71
194810,5.96,-1.5,0.58
194811,-9.3,-0.6,-4.13
194812,3.26,-2.82,-1.94
194901,0.23,1.77,1.23
194902,-2.93,-1.9,-0.86
194903,4.04,2.5,1.29
194904,-1.87,-0.89,-1.13
194905,-2.94,-0.79,-2.37
194906,0.1,-0.91,-1.65
194907,5.54,0.55,0.37
194908,2.6,0.2,-0.55
194909,3.09,1,0.19
194910,3.14,1.04,-0.48
194911,1.82,-1.02,-0.96
