,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
1997-01,0.011899999999999999,0.0393,0.0178,0.0791,0.0189,0.0213,0.0191,0.057300000000000004,0.0281,0.015,0.018000000000000002,-0.0166,0.0317
1997-02,0.0123,0.0298,0.012199999999999999,0.0525,0.0101,0.0084,0.012199999999999999,0.0175,-0.0006,0.0034000000000000002,0.0118,0.0426,0.0106
1997-03,0.0078000000000000005,-0.0021,-0.0012,-0.012,0.0016,-0.0023,0.0109,-0.011899999999999999,-0.0084,0.006,0.001,0.07780000000000001,-0.0077
1997-04,0.0086,-0.017,0.003,0.011899999999999999,0.011899999999999999,-0.0005,0.013000000000000001,0.0172,0.0084,-0.0001,0.012199999999999999,-0.0129,0.0009
1997-05,0.015600000000000001,-0.0015,0.0233,0.0315,0.0189,0.0346,0.0118,0.0108,0.0394,0.0197,0.0173,-0.0737,0.0275
1997-06,0.0212,0.0085,0.0217,0.0581,0.0165,0.0258,0.0108,0.0218,0.0223,0.0231,0.019799999999999998,-0.006500000000000001,0.0225
1997-07,0.019299999999999998,0.0591,0.023399999999999997,0.055999999999999994,0.024700000000000003,0.030699999999999998,0.0095,0.0738,0.0454,0.02,0.0181,-0.0429,0.0435
1997-08,0.0134,-0.0473,0.0147,-0.0066,0.0017000000000000001,0.0070999999999999995,0.0087,-0.018000000000000002,0.010700000000000001,0.0079,0.0103,-0.0072,0.0051
1997-09,0.012199999999999999,0.019799999999999998,0.035,0.0229,0.0202,0.0329,0.011899999999999999,0.028999999999999998,0.0429,0.0197,0.0183,-0.0155,0.0334
1997-10,0.01,-0.0098,-0.0064,-0.0572,0.0095,0.0060999999999999995,-0.0032,-0.014199999999999999,0.001,0.009399999999999999,0.0079,0.0572,-0.009899999999999999
1997-11,0.0,0.013300000000000001,0.0054,-0.0378,0.0040999999999999995,0.0134,0.0053,0.0106,-0.0026,0.0223,0.0111,0.0217,-0.0034000000000000002
1997-12,0.0068000000000000005,0.0286,0.0073,0.016,0.0066,0.0154,0.0079,0.0264,0.0104,0.0158,0.008199999999999999,0.0161,0.0089
1998-01,0.014499999999999999,0.0104,0.0095,-0.0429,0.006,0.0055000000000000005,-0.0026,-0.005,0.0013,0.0055000000000000005,0.0132,0.0014000000000000002,-0.0036
1998-02,0.0146,-0.006500000000000001,0.0227,0.0339,0.013500000000000002,0.0294,0.0098,0.0128,0.0342,0.0212,0.013000000000000001,0.0155,0.0256
1998-03,0.0144,0.012199999999999999,0.0252,0.0318,0.0179,0.0263,0.0128,0.057,0.0336,0.016399999999999998,0.014499999999999999,0.0637,0.0373
1998-04,0.0126,-0.0296,0.0165,0.0040999999999999995,0.0067,0.0104,0.0075,0.0034000000000000002,0.012,0.0139,0.014499999999999999,0.06570000000000001,0.0125
1998-05,0.005600000000000001,0.019299999999999998,0.0006,-0.0825,0.008,-0.0083,0.004,0.0095,-0.0087,-0.0009,0.0053,0.1437,-0.0072
1998-06,-0.0006,0.0051,-0.004699999999999999,-0.042199999999999994,0.0108,0.0002,-0.008,0.012,0.0167,0.0072,0.0026,-0.0053,0.0021
1998-07,0.006,-0.001,-0.0069,0.0019,0.0012,-0.0037,0.0106,0.0058,-0.0006,0.0007000000000000001,0.0011,0.034300000000000004,-0.0007000000000000001
1998-08,-0.0319,0.0691,-0.0836,-0.19219999999999998,-0.010700000000000001,-0.0886,-0.0143,-0.0263,-0.0552,-0.054400000000000004,-0.0341,0.2463,-0.0616
